countyGridIndex,FIPS,stateFips,county,lat (urcrnr),lon (urcrnr),lat (llcrnr),lon (llcrnr)
0,10001,10,Kent County,38.9370184,-75.64797974999999,38.829859,-75.760104
1,10001,10,Kent County,39.0441778,-75.64797974999999,38.9370184,-75.760104
2,10001,10,Kent County,39.1513372,-75.64797974999999,39.0441778,-75.760104
3,10001,10,Kent County,39.2584966,-75.64797974999999,39.1513372,-75.760104
4,10001,10,Kent County,39.365656,-75.64797974999999,39.2584966,-75.760104
5,10001,10,Kent County,38.9370184,-75.5358555,38.829859,-75.64797974999999
6,10001,10,Kent County,39.0441778,-75.5358555,38.9370184,-75.64797974999999
7,10001,10,Kent County,39.1513372,-75.5358555,39.0441778,-75.64797974999999
8,10001,10,Kent County,39.2584966,-75.5358555,39.1513372,-75.64797974999999
9,10001,10,Kent County,39.365656,-75.5358555,39.2584966,-75.64797974999999
10,10001,10,Kent County,38.9370184,-75.42373125,38.829859,-75.5358555
11,10001,10,Kent County,39.0441778,-75.42373125,38.9370184,-75.5358555
12,10001,10,Kent County,39.1513372,-75.42373125,39.0441778,-75.5358555
13,10001,10,Kent County,39.2584966,-75.42373125,39.1513372,-75.5358555
14,10001,10,Kent County,39.365656,-75.42373125,39.2584966,-75.5358555
15,10001,10,Kent County,38.9370184,-75.311607,38.829859,-75.42373125
16,10001,10,Kent County,39.0441778,-75.311607,38.9370184,-75.42373125
17,10001,10,Kent County,39.1513372,-75.311607,39.0441778,-75.42373125
18,10001,10,Kent County,39.2584966,-75.311607,39.1513372,-75.42373125
19,10001,10,Kent County,39.365656,-75.311607,39.2584966,-75.42373125
0,10003,10,New Castle County,39.405158799999995,-75.664119,39.296817,-75.788658
1,10003,10,New Castle County,39.5135006,-75.664119,39.405158799999995,-75.788658
2,10003,10,New Castle County,39.6218424,-75.664119,39.5135006,-75.788658
3,10003,10,New Castle County,39.730184200000004,-75.664119,39.6218424,-75.788658
4,10003,10,New Castle County,39.838526,-75.664119,39.730184200000004,-75.788658
5,10003,10,New Castle County,39.405158799999995,-75.53958,39.296817,-75.664119
6,10003,10,New Castle County,39.5135006,-75.53958,39.405158799999995,-75.664119
7,10003,10,New Castle County,39.6218424,-75.53958,39.5135006,-75.664119
8,10003,10,New Castle County,39.730184200000004,-75.53958,39.6218424,-75.664119
9,10003,10,New Castle County,39.838526,-75.53958,39.730184200000004,-75.664119
10,10003,10,New Castle County,39.405158799999995,-75.415041,39.296817,-75.53958
11,10003,10,New Castle County,39.5135006,-75.415041,39.405158799999995,-75.53958
12,10003,10,New Castle County,39.730184200000004,-75.415041,39.6218424,-75.53958
13,10003,10,New Castle County,39.838526,-75.415041,39.730184200000004,-75.53958
